,0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,0.055222306747436445
2020-06-30,-0.047291928648727666
2020-07-31,0.34671911660705756
2020-08-31,0.13512771486985886
2020-09-30,0.00808288129806467
2020-10-31,0.09250083950644927
2020-11-30,0.3576368955735518
2020-12-31,0.25266193505415613
2021-01-31,0.3796699558805041
2021-02-28,1.1523791814786346
2021-03-31,0.37537345094920593
2021-04-30,0.47730435543525407
2021-05-31,-0.25665100489995507
2021-06-30,-0.11639435426362177
2021-07-31,0.1291246407330342
2021-08-31,0.2912939790479785
2021-09-30,-0.11613853954147668
2021-10-31,0.39243908500547153
2021-11-30,0.06911914702131572
2021-12-31,-0.18646058885263628
2022-01-31,-0.2301178305677407
2022-02-28,0.08399483536044827
2022-03-31,0.08515112994803742
2022-04-30,-0.14961890029247316
2022-05-31,-0.19657038700450669
2022-06-30,-0.3763048800057446
2022-07-31,0.3404472657732802
2022-08-31,-0.0735929867380195
2022-09-30,-0.05031824827410902
2022-10-31,0.1293462111009991
2022-11-30,-0.13532410953984908
2022-12-31,-0.0970738091208978
2023-01-31,0.3255475672794099
2023-02-28,0.039500103855079294
