,MV,HRP,Sharpe_Ratio,risk_parity,cvar,cdar,eigen,random,equal
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,0.09422937500000006,0.07838639892578136,0.10683261230468744,0.08576091552734377,0.08558183105468742,0.09590734863281258,0.09198232666015627,0.07451223144531238,0.09198232666015627
2022-03-31,0.16413532968693145,0.09281354064089009,0.1085011156222857,0.08346454340593534,0.1257776136112998,0.08337945701519756,0.08449352591072956,0.10758885850754285,0.08449352591072956
2022-04-30,-0.12445753728782383,-0.1359346112505435,-0.12820706025469109,-0.14001711992763144,-0.16135595136617376,-0.1476773957505514,-0.1472087997481194,-0.15353182746666405,-0.1472087997481194
2022-05-31,-0.13947686423798145,-0.18817124636992721,-0.10348491208708588,-0.19247766761147367,-0.2844181131630562,-0.19764317171821988,-0.19807776681280387,-0.16609625616972912,-0.19807776681280387
2022-06-30,-0.375340375232181,-0.3262831711342863,-0.3756538599297242,-0.3487942051145816,-0.4465743881121077,-0.3790827877060722,-0.3762042519310511,-0.3611711520865555,-0.3762042519310511
2022-07-31,0.17775423127365553,0.2529260096191226,0.43482261516298815,0.2724927720874426,0.5750360300197785,0.35247461713074846,0.3399068396168117,0.29552433795985333,0.3399068396168117
2022-08-31,-0.13966538836104392,-0.11076160829256643,-0.13032226789993562,-0.07385725443898461,-0.07598407850781674,-0.08226232150440393,-0.08021796907873746,-0.09874437136258418,-0.08021796907873746
2022-09-30,-0.043354444643543655,-0.05573351161203921,-0.044058619593583925,-0.04999511654202482,-0.030995845366203922,-0.07925191137439402,-0.08076581386078407,-0.07906646887778568,-0.08076581386078407
2022-10-31,0.03360013222644054,0.087580760361325,0.06058848538780559,0.0913452739479308,0.19825035191435614,0.1102953654148493,0.10643977995980625,0.1004848756895853,0.10643977995980625
2022-11-30,-0.08938675173958377,-0.12717493415023284,-0.2540474271608737,-0.1659494007487935,-0.17367376066871354,-0.14658835075533239,-0.13297970921134572,-0.1523432739201509,-0.13297970921134572
2022-12-31,-0.03406491723800831,-0.04223696023473411,-0.03297627627104638,-0.04107405637934225,-0.0750472587373624,-0.050134123949840737,-0.04861992821304062,-0.050061236504232665,-0.04861992821304062
2023-01-31,0.31875942138416513,0.2981769277543458,0.3206845223184276,0.24716177448361454,0.347232270567158,0.28486204801543424,0.27942594111563146,0.286397910874054,0.27942594111563146
2023-02-28,0.04853406956303874,0.03488927052900559,0.04858196977731288,0.04223337072584976,0.03897259019966004,0.04730972188886895,0.045960962069112155,0.038250639307176426,0.045960962069112155
